date,actual_return,predicted_mean,mse,mae,hit_10,hit_5,hit_1
2020-02-15,-0.0001310913633448898,-0.0007276118,0.00013767902748188548,0.007139449835649189,0.024691358024691357,0.012345679012345678,0.012345679012345678
2020-02-16,-0.0001310913633448898,-0.0007276118,0.00013767902748188548,0.007139449835649189,0.024691358024691357,0.012345679012345678,0.012345679012345678
2020-02-17,-0.0048562785137505485,-0.0007276118,0.00013957607296404673,0.009394303563434745,0.07407407407407407,0.024691358024691357,0.0
2020-02-18,0.003444466511304438,-0.0007276118,0.00016209109696874605,0.009104923082673695,0.024691358024691357,0.012345679012345678,0.0
2020-02-19,-0.002838027715095777,-0.0007276118,0.0001365653317155793,0.008159120196343203,0.04938271604938271,0.012345679012345678,0.0
2020-02-20,-0.0074539879108479435,-0.0007276118,0.0002149443806981727,0.011271456195643651,0.1111111111111111,0.04938271604938271,0.0
2020-02-21,-0.0074539879108479435,-0.0007276118,0.0002149443806981727,0.011271456195643651,0.1111111111111111,0.04938271604938271,0.0
2020-02-22,-0.0074539879108479435,-0.0007276118,0.0002149443806981727,0.011271456195643651,0.1111111111111111,0.04938271604938271,0.0
2020-02-23,-0.033423271425945554,-0.0007276118,0.001383380898300931,0.0338047381227254,0.7654320987654321,0.5925925925925926,0.20987654320987653
2020-02-24,-0.03296642597944154,-0.0007276118,0.0012246340660710538,0.03232305851961323,0.7160493827160493,0.6172839506172839,0.24691358024691357
2020-02-25,-0.006809183614580532,-0.0007276118,0.00029276825283066135,0.01278661298550535,0.19753086419753085,0.08641975308641975,0.0
2020-02-26,-0.04246140804077161,-0.0007276118,0.0019265751746905943,0.04199266029965302,0.9012345679012346,0.8024691358024691,0.4444444444444444
2020-02-27,-0.01231230866041759,-0.0007276118,0.0006818317278784523,0.021612902704887558,0.3950617283950617,0.32098765432098764,0.14814814814814814
2020-02-28,-0.01231230866041759,-0.0007276118,0.0006818317278784523,0.021612902704887558,0.3950617283950617,0.32098765432098764,0.14814814814814814
